歌名,歌手,风格,链接
11,队长,嘻哈,
听,方大同,流行,
喂,单依纯,流行,
笼,张碧晨,流行,
娶,苏敬安,古风,
瞬,郑润泽,流行,
时差,鹿晗,流行,
慢冷,李荣浩,流行,
光亮,周深,流行,
搁浅,孙颖 (SunYing),流行,
月光,胡彦斌,流行,
尘埃,家家,流行,
命运,家家,流行,
拆穿,闭文思,流行,
空空,陈粒,流行,
再见,张震岳,摇滚,
如此,单依纯,流行,
去也,青龙捕快,古风,
谓风,流仙,古风,
叙世,陈贰柒,古风,
知我,国风堂,古风,
祖籁,黄诗扶,古风,
蝶梦,黄诗扶,古风,
只念,萨顶顶,古风,
难却,T3CHN0,电子,
琴师,音频怪物,古风,
若梦,en（王翊恩）,古风,
借梦,Anna hisbbuR,古风,
如愿,王菲,流行,
野人,孟维来,民谣,
时候,苏运莹,民谣,
凝眸,小迪String,流行,
清涟,Kumark漱一,古风,
循迹,王子健,流行,
诺言,郭有才,流行,
好迷,忽晚山河,流行,
赤伶,谭晶,古风,
问情,陈亦洺,古风,
入凡,陈亦洺,古风,
闻说,HITA,古风,
探窗,明月社,古风,
悦神,KBShinya,古风,
岁岁,任素汐,民谣,
玄鸟,CashTrippy,古风,
不破,阿肆,流行,
月出,双笙（陈元汐）,古风,
青白,银临,古风,
红白,黄诗扶,古风,
栩栩,栩栩,流行,
芊芊,焦小飞,流行,
杀伐,NL不分,古风,
故梦,双笙（陈元汐）,古风,
千梦,Aki阿杰,古风,
问风,金渔,古风,
年轮,张碧晨,流行,
风月,黄龄,古风,
小雨,黄龄,古风,
彻夜,郑润泽,流行,
借过,Uu,流行,
不枉,宋亚轩,流行,
决爱,盛宇D-SHINE,流行,
人是,周深,流行,
野子,苏运莹,民谣,
太阳,TAEYANG,流行,
当你,林俊杰,流行,
红颜,胡彦斌,流行,
万疆,李玉刚,流行,
月下,苏运莹,民谣,
彩虹,TimeZ,流行,
着魔,张杰,流行,
如故,张碧晨,流行,
相思,毛阿敏,古风,
曹操,林俊杰,流行,
虚拟,陈粒,流行,
指纹,杜宣达,流行,
也罢,鲁向卉,流行,
何者,谭晶,古风,
嗵嗵,周公,流行,
舍得,王唯旖,流行,
千年,赖仔Morris,流行,
珠玉,单依纯,流行,
爱你,王心凌,流行,
予君书,阿YueYue,古风,
不老梦,银临,古风,
挑兰灯,Aki阿杰,古风,
阳山绝,洛天依Official,古风,
快活记,黄诗扶,古风,
东风志,Aki阿杰,古风,
壁上观,鞠婧祎,古风,
何以歌,Aki阿杰,古风,
马步谣,双笙（陈元汐）,古风,
锦鲤抄,银临,古风,
苏公堤,熙云XYUN,古风,
由此去,黄诗扶,古风,
救风尘,瑶卮,古风,
千灯愿,弦森,古风,
是风动,银临,古风,
红昭愿,音阙诗听,古风,
牵丝戏,银临,古风,
流光记,银临,古风,
余生缘,世界之外,流行,
外婆桥,任然,民谣,
不谓侠,萧忆情Alex,古风,
干物女,封茗囧菌,流行,
